mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,stop_name,parent_station,total_ons,total_offs,number_service_days,hour_of_service,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,63,1,10,09:00:00,6,0,65,11197
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,68,1,10,10:00:00,7,0,79,11198
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,105,1,10,11:00:00,10,0,122,11199
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,103,0,10,12:00:00,10,0,110,11200
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,0,0,11,02:00:00,0,0,0,11201
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,0,0,11,03:00:00,0,0,0,11202
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,1,0,11,04:00:00,0,0,1,11203
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,4,0,11,05:00:00,0,0,6,11204
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,27,1,11,06:00:00,2,0,22,11205
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,45,3,11,07:00:00,4,0,31,11206
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,51,3,11,08:00:00,5,0,46,11207
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,74,4,11,09:00:00,7,0,73,11208
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,113,5,11,10:00:00,10,0,106,11209
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,119,11,11,11:00:00,11,1,114,11210
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,79,9,11,12:00:00,7,1,112,11211
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,133,16,11,13:00:00,12,1,133,11212
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,78,10,11,14:00:00,7,1,96,11213
