stop_name,hr_pm,direction,avg_total_ons,avg_total_offs,avg_passenger_flow,delay_minutes
Ruggles,11,NB,1660.0,369.3333333333333,179.33333333333334,-5.261111111111111
Ruggles,11,SB,1210.3333333333333,2615.3333333333335,477.3333333333333,1.9583333333333333
State,2,NB,6292.333333333333,13946.0,1250.0,-4.966666666666667
State,2,SB,10990.0,6650.666666666667,1423.6666666666667,1.6333333333333333
State,3,NB,8097.0,16789.333333333332,1540.3333333333333,-3.0194444444444444
State,3,SB,13085.333333333334,6916.666666666667,1508.0,1.4152777777777779
State,4,NB,11680.0,17601.666666666668,1830.0,-3.631944444444444
State,4,SB,14710.0,6932.666666666667,1582.0,1.5819444444444446
State,5,NB,13159.333333333334,16461.333333333332,2014.0,-1.4564102564102563
State,5,SB,15450.666666666666,6339.666666666667,1493.3333333333333,2.0166666666666666
State,6,NB,7643.666666666667,12043.333333333334,1448.6666666666667,5.2138888888888895
State,6,SB,9834.666666666666,5104.333333333333,1214.3333333333333,5.744871794871795
State,7,NB,4566.666666666667,8972.0,1137.3333333333333,3.959722222222222
State,7,SB,6411.0,3743.3333333333335,854.3333333333334,5.777777777777778
State,8,NB,3375.6666666666665,6427.333333333333,786.0,2.1347222222222224
State,8,SB,5025.666666666667,2871.3333333333335,654.6666666666666,6.383333333333333
State,9,NB,2978.3333333333335,6954.666666666667,703.6666666666666,-0.6121212121212122
State,9,SB,4530.333333333333,2829.3333333333335,597.0,3.222727272727273
State,10,NB,2727.3333333333335,7736.666666666667,617.3333333333334,-4.303333333333333
State,10,SB,3904.3333333333335,3328.0,613.0,1.3574074074074074
State,11,NB,2127.0,6610.666666666667,494.3333333333333,-5.133333333333334
State,11,SB,2975.6666666666665,2107.0,446.6666666666667,1.3816666666666666
Stony Brook,2,NB,2685.6666666666665,302.0,595.0,-3.466666666666667
Stony Brook,2,SB,186.66666666666666,3466.0,421.0,-0.3
Stony Brook,3,NB,3022.6666666666665,317.6666666666667,587.3333333333334,-2.733333333333333
Stony Brook,3,SB,232.33333333333334,4454.333333333333,513.6666666666666,0.5986111111111111
Stony Brook,4,NB,3144.6666666666665,378.3333333333333,552.0,-2.933333333333333
Stony Brook,4,SB,269.0,5654.333333333333,588.3333333333334,1.9444444444444446
Stony Brook,5,NB,3242.3333333333335,502.3333333333333,537.0,-1.0291666666666666
Stony Brook,5,SB,279.6666666666667,8440.333333333334,718.3333333333334,2.1972222222222224
Stony Brook,6,NB,2710.0,397.6666666666667,419.6666666666667,-1.4152777777777779
Stony Brook,6,SB,230.0,6285.666666666667,577.0,4.071794871794872
Stony Brook,7,NB,1688.6666666666667,310.6666666666667,299.6666666666667,1.4041666666666668
Stony Brook,7,SB,158.66666666666666,4604.333333333333,439.3333333333333,6.502777777777777
Stony Brook,8,NB,844.0,227.33333333333334,189.33333333333334,3.1180555555555554
Stony Brook,8,SB,106.66666666666667,3557.3333333333335,356.3333333333333,6.677272727272728
Stony Brook,9,NB,736.3333333333334,208.66666666666666,169.66666666666666,-2.5933333333333333
Stony Brook,9,SB,101.66666666666667,3283.6666666666665,313.3333333333333,3.21
Stony Brook,10,NB,522.0,155.33333333333334,144.33333333333334,-4.033333333333333
Stony Brook,10,SB,77.66666666666667,2929.6666666666665,305.3333333333333,1.8649999999999998
Stony Brook,11,NB,391.3333333333333,107.0,89.33333333333333,-4.887037037037037
Stony Brook,11,SB,53.0,2228.6666666666665,264.6666666666667,1.7600000000000002
Sullivan Square,2,NB,1364.0,5692.0,830.0,-2.283333333333333
Sullivan Square,2,SB,7291.333333333333,1051.0,1085.0,0.6666666666666666
Sullivan Square,3,NB,1734.3333333333333,7504.666666666667,1067.3333333333333,-2.8833333333333333
Sullivan Square,3,SB,8020.333333333333,1307.3333333333333,1098.0,0.5153846153846154
Sullivan Square,4,NB,2176.0,8789.666666666666,1339.6666666666667,-2.888888888888889
Sullivan Square,4,SB,7474.0,1262.6666666666667,1016.6666666666666,0.6666666666666666
Sullivan Square,5,NB,2554.3333333333335,10412.666666666666,1646.6666666666667,-0.9041666666666667
Sullivan Square,5,SB,7221.666666666667,1168.0,990.6666666666666,0.9305555555555557
Sullivan Square,6,NB,1886.3333333333333,7459.0,1197.0,4.726388888888889
Sullivan Square,6,SB,5530.333333333333,966.6666666666666,876.6666666666666,4.344444444444444
Sullivan Square,7,NB,1135.6666666666667,5947.666666666667,912.3333333333334,5.8910256410256405
Sullivan Square,7,SB,3416.6666666666665,728.0,588.6666666666666,4.969444444444444
Sullivan Square,8,NB,782.0,4486.333333333333,694.0,2.3361111111111112
Sullivan Square,8,SB,2380.3333333333335,531.3333333333334,388.3333333333333,5.062121212121212
